"band","species","beak_length","beak_depth","beak_width","recaptures"
"1973SK","fuliginosa",8.82,7.35,7.29,0
"2019SK","fuliginosa",9.18,7.15,6.98,0
"203","fortis large",13.76,14.885,12.755,1
"2059SK","fuliginosa",8.68,6.87,6.82,0
"57649","fuliginosa",8.71,6.84,6.81,0
"632","fuliginosa",8.55,6.66,6.41,0
"633","fuliginosa",8.15,7.01,6.43,0
"645","fuliginosa",8.66666666666667,6.92333333333333,6.46,5
"714SK","fuliginosa",8.97,7.47,7.15,0
"AH0001","fortis large",13.69,11.43,12.36,0
"AH0002","scandens",14.35,8.41,7.86,0
"AH0003","fuliginosa",8.85,6.87,6.69,0
"AH0005","fuliginosa",9.37,7.68,7.13,0
"AH0007","fortis small",10.78,9.87,8.59,0
"AH0011","scandens",14.97,8.19,7.43,0
"AH0013","scandens",11.64,7.48,12.12,0
"AH0014","scandens",12.87,7.79,7.68,0
"AH0015","fortis large",12.915,12.885,11.03,0
"AH0016","fortis large",12.52,13.23,10.475,0
"AH0017","fortis large",12.63,11.95,10.58,0
"AH0018","scandens",14.34,8.59,8.01,0
"AH0019","fortis large",12.53,12.17,10.9,0
"AH0020","scandens",14.28,8.71,8.28,0
"AH0021","scandens",13.95,8.88,8.13,0
"AH0022","fortis small",12.62,11.64,9.55,0
"AH0024","fortis small",10.77,12.1,10.23,0
"AH0025","fortis large",13.08,12.12,10.69,0
"AH0026","fortis large",13.66,14.62,12.18,0
"AH0027","fortis small",11.55,9.9,9.27,0
"AH0028","fortis small",11.81,9.36,8.65,0
"AH0029","fortis large",12.945,11.99,10.4,0
"AH0030","fortis large",13.78,13.03,11.03,0
"AH0031","fortis small",11.26,9.77,9.4,0
"AH0033","fortis small",11.18,10.16,9.53,0
"AH0034","scandens",14.72,8.74,8.19,0
"AH0035","scandens",14.41,8.47,7.75,0
"AH0036","fortis small",12,11.57,10.21,0
"AH0037","fortis small",11.07,10.23,9.2,0
"AH0038","fortis small",11.41,8.39,8.48,0
"AH0039","fortis small",11.83,10.81,9.68,0
"AH0041","fortis large",14.54,13.74,11.23,0
"AH0042","fortis small",10.69,10.26,8.98,0
"AH0043","fortis large",13.1866666666667,12.7333333333333,10.86,0
"AH0044","scandens",16.1,8.73,8.17,0
"AH0045","fortis small",12.38,10.14,9.45,0
"AH0048","scandens",14.62,9.91,8.6,0
"AH0049","fortis small",11.87,11.0866666666667,10.0133333333333,0
"AH0050","fortis large",12.665,12.05,10.475,0
"AH0051","fortis large",13.85,14.05,12.3,0
"AH0052","scandens",14.94,7.93,9.28,0
"AH0054","fortis large",13.8,13.6,11.53,0
"AH0056","scandens",13.41,8.78,8.33,0
