"band","year","survived","beak_pc1","beak_length","beak_width","beak_depth"
"JP1003",2004,0,-0.6974,10.98,9.81,10.61
"JP1004",2004,0,0.7003,11.71,10.76,11.61
"JP1010",2004,1,-0.8592,11.19,9.5,10.37
"JP1011",2004,0,-1.7118,10.86,8.23,10.51
"JP1017",2004,0,-0.3132,11.26,9.52,11.5
"JP1018",2004,0,2.3446,12.63,11.66,12.99
"JP1019",2004,0,-0.8201,11.03,9.66,10.46
"JP1020",2004,1,-0.5713,11.45,9.23,11.04
"JP1021",2004,1,-0.0633,11.38,9.73,11.64
"JP1022",2004,0,0.2009,12.15,9.49,11.55
"JP1023",2004,0,-1.1493,10.7,9.23,10.7
"JP1024",2004,0,-1.437,10.36,9.32,10.37
"JP1025",2004,0,-2.3274,10.4,8.41,9.47
"JP1026",2004,0,-1.4624,10.92,8.76,10.31
"JP1027",2004,0,1.5818,13.01,10.28,12.55
"JP1029",2004,0,2.9454,13.45,11.3,13.76
"JP1030",2004,0,-0.6788,11.71,8.85,10.95
"JP1031",2004,0,3.0539,12.82,12.16,13.71
"JP1032",2004,0,-1.5867,11.41,8.35,9.92
"JP1033",2004,0,-0.618,11.36,9.2,11.09
"JP1035",2004,1,0.4251,12.17,9.74,11.71
"JP1036",2004,0,0.7247,11.58,10.68,11.94
"JP1037",2004,1,1.5887,13.84,9.69,12.25
"JP1038",2004,0,2.5489,13.48,11.25,12.88
"JP1039",2004,0,1.0569,12.85,9.82,12.16
"JP1040",2004,1,-1.3767,10.7,9.1,10.35
"JP1042",2004,0,-0.7183,11.64,8.92,10.86
"JP1043",2004,0,0.1711,12.06,9.85,11.13
"JP1044",2004,0,3.2008,13.75,11.83,13.26
"JP1045",2004,1,-1.3681,10.59,9.21,10.37
"JP1047",2004,1,3.0682,13.15,11.77,13.82
"JP1048",2004,0,1.2355,12.67,10.62,11.76
"JP1049",2004,1,-0.8051,11.34,9.36,10.48
"JP1050",2004,1,-0.5486,11.24,9.35,11.21
"JP1051",2004,1,-0.7931,11.87,8.75,10.61
"JP1052",2004,1,-1.8358,11.16,8.77,9.13
"JP1053",2004,0,1.2685,11.81,10.85,12.66
"JP1069",2004,1,-0.2888,11.41,9.65,11.19
"JP1070",2004,0,0.657,12.88,9.35,11.82
"JP1071",2004,0,-1.1363,11.41,8.61,10.61
"JP1072",2004,1,2.7192,13.26,11.24,13.57
"JP1073",2004,0,-0.6661,11.82,8.9,10.77
"JP1075",2004,0,0.3301,12.63,9.58,11.1
"JP1076",2004,1,2.3577,12.61,11.22,13.62
"JP1077",2004,0,-0.4783,11.55,9.17,11.2
"JP1078",2004,0,0.3373,12.1,9.94,11.34
"JP1079",2004,1,-1.2757,11.05,8.88,10.41
"JP1080",2004,1,3.1586,13.25,11.92,13.7
"JP1081",2004,0,0.3934,12.2,9.8,11.52
"JP1082",2004,0,3.0526,13.53,11.4,13.77
"JP1083",2004,0,2.9625,13.47,11.77,13.16
"JP1084",2004,1,3.1979,12.96,12.41,13.53
"JP1085",2004,0,-1.288,11.26,8.97,9.99
"JP1086",2004,0,-0.5999,11.55,9.44,10.57
"JP1087",2004,0,-2.914,10.48,8,8.56
"JP1088",2004,0,0.3993,11.57,10.12,11.94
"JP1089",2004,0,2.0519,13.24,11.08,12.28
"JP1090",2004,0,3.3338,13.89,11.57,13.72
"JP1091",2004,0,-0.8738,12.03,8.87,10.06
"JP1092",2004,0,-0.9124,11.74,8.84,10.39
"JP1093",2004,0,0.0319,13,9.3,10.3
"JP1094",2004,1,-0.1317,12.02,9.95,10.36
"JP1095",2004,0,-1.0704,11.19,9.36,10.07
"JP1096",2004,0,0.7336,12.55,10.16,11.37
"JP1097",2004,0,-1.3196,11.11,8.72,10.44
"JP1098",2004,0,-1.3659,11.36,8.81,9.89
"JP1099",2004,1,4.3189,13.52,12.9,14.72
"JP1199",2004,0,-1.8242,11.26,8.69,9.13
"JP1200",2004,1,-1.685,10.43,9.03,10.09
"JP1201",2004,0,0.0894,11.6,10.03,11.31
"JP1362",2004,0,2.2027,13.21,11.06,12.69
"JP1363",2004,0,3.5595,14.39,11.51,13.66
"JP1364",2004,0,0.6589,11.86,10.1,12.18
"JP1365",2004,0,2.0921,13.29,10.97,12.45
"JP1366",2004,0,3.0729,14.24,11.13,13.24
"JP1367",2004,0,3.4311,13.77,11.83,13.76
"JP1368",2004,0,-1.1884,11.58,9,9.76
"JP1370",2004,0,0.9472,13.15,10.04,11.23
"JP1371",2004,0,-2.1209,10.33,8.75,9.59
"JP1379",2004,1,0.2094,12.06,9.71,11.4
"JP1380",2004,0,-1.2292,11.36,9.08,9.85
"JP1381",2004,0,-0.9198,11.64,9.05,10.23
"JP1382",2004,0,-0.2795,11.81,9.71,10.61
"JP1383",2004,0,-1.7597,11.39,8.55,9.29
"JP1384/P554",2004,1,2.4801,13.27,11.34,12.88
"JP1385",2004,0,2.5469,13.3,11.22,13.15
"JP1386",2004,0,-1.5022,9.74,9.72,10.51
"JP1387",2004,0,-0.3604,12.14,9.36,10.45
"JP1388",2004,0,-1.9816,11,8.79,8.98
"JP1389",2004,0,0.201,11.26,10.62,11.24
"JP1390",2004,0,2.3114,13.08,11.35,12.73
"JP1394/P703",2004,1,-0.2328,11.7,9.81,10.73
"JP1395/P789",2004,1,-0.9395,11.03,9.19,10.8
"JP1418/P722",2004,1,1.1325,12.35,10.4,12.23
"JP1732/P797",2004,1,3.3958,13.63,12.2,13.38
"P565",2004,0,-0.3364,11.67,9.72,10.65
"P566",2004,1,-0.8167,11.46,8.33,11.64
"P577",2004,0,0.0579,11.79,10.16,10.82
"P582",2004,0,3.0955,13.72,11.3,13.75
"P589",2004,0,-1.6766,10.19,9.04,10.41
"P592",2004,0,-0.3348,11.47,9.54,11.15
"P681",2004,0,3.9809,13.44,12.48,14.6
"P694",2004,0,2.164,12.84,11.11,13.02
"P700/JP1034",2004,0,3.2081,12.88,12.37,13.71
"P731/JP1369",2004,0,1.9595,13.29,10.5,12.76
"P732",2004,0,-1.5623,10.41,9.15,10.24
"P790",2004,0,-1.2612,11.39,8.81,10.09
"P791",2004,1,-0.6725,11.98,8.23,11.42
"P794",2004,1,-0.9603,11.05,9.31,10.57
"P795",2004,0,-0.1192,11.43,9.72,11.46
"JP1010",2005,1,-0.8592,11.19,9.5,10.37
"JP1020",2005,1,-0.5713,11.45,9.23,11.04
"JP1021",2005,0,-0.0633,11.38,9.73,11.64
"JP1035",2005,0,0.4251,12.17,9.74,11.71
"JP1037",2005,0,1.5887,13.84,9.69,12.25
"JP1040",2005,1,-1.3767,10.7,9.1,10.35
"JP1045",2005,0,-1.3681,10.59,9.21,10.37
"JP1047",2005,0,3.0682,13.15,11.77,13.82
"JP1049",2005,1,-0.8051,11.34,9.36,10.48
"JP1050",2005,0,-0.5486,11.24,9.35,11.21
"JP1051",2005,0,-0.7931,11.87,8.75,10.61
"JP1052",2005,0,-1.8358,11.16,8.77,9.13
"JP1069",2005,0,-0.2888,11.41,9.65,11.19
"JP1072",2005,1,2.7192,13.26,11.24,13.57
"JP1076",2005,1,2.3577,12.61,11.22,13.62
"JP1079",2005,1,-1.2757,11.05,8.88,10.41
"JP1080",2005,0,3.1586,13.25,11.92,13.7
"JP1084",2005,1,3.1979,12.96,12.41,13.53
"JP1094",2005,1,-0.1317,12.02,9.95,10.36
"JP1099",2005,0,4.3189,13.52,12.9,14.72
"JP1200",2005,1,-1.685,10.43,9.03,10.09
"JP1379",2005,1,0.2094,12.06,9.71,11.4
"JP1384/P554",2005,0,2.4801,13.27,11.34,12.88
"JP1392",2005,1,0.5594,12.78,9.54,11.48
"JP1393",2005,0,-1.04,11.17,9.28,10.27
"JP1394/P703",2005,0,-0.2328,11.7,9.81,10.73
"JP1395/P789",2005,1,-0.9395,11.03,9.19,10.8
"JP1396",2005,1,-0.827,10.8,9.61,10.81
"JP1397",2005,0,2.6944,13.7,10.97,13.29
"JP1398",2005,1,2.1242,13.01,10.64,13.32
"JP1399",2005,1,-1.4647,10.68,9.15,10.11
"JP1400",2005,0,-0.9305,11.23,9.45,10.22
"JP1402",2005,1,-0.708,11.52,9.25,10.61
"JP1405",2005,0,0.1455,11.59,9.64,11.96
"JP1406",2005,0,2.3381,12.86,11.05,13.47
"JP1408",2005,0,-0.8442,11.17,9.37,10.6
"JP1409",2005,0,0.3268,11.94,9.99,11.46
"JP1410",2005,0,-1.0732,11.66,9.16,9.71
"JP1411",2005,0,-1.8399,10.27,8.62,10.48
"JP1412",2005,0,-0.1973,12.19,9.45,10.64
"JP1413",2005,0,-0.4123,12.08,9.36,10.41
"JP1414",2005,0,-1.445,11.09,8.62,10.31
"JP1416",2005,0,0.2545,12.11,9.67,11.49
